id,num_prefill_tokens,num_decode_tokens,num_total_tokens,pd_ratio
QWJhYvA_0,34,254,288,0.1339
i6IyJda_0,18,73,91,0.2466
A5AbcES_0,63,448,511,0.1406
hRPPgZT_0,95,118,213,0.8051
hRPPgZT_11,5,413,418,0.0121
hRPPgZT_17,6,744,750,0.0081
IWkMGRK_0,324,192,516,1.6875
yn2eWCt_0,17,185,202,0.0919
DhelrJT_0,18,6,24,3.0
VY7cMKG_0,6,259,265,0.0232
H1aZlSE_0,51,644,695,0.0792
wNBG8Gp_0,11,208,219,0.0529
wNBG8Gp_15,24,415,439,0.0578
wNBG8Gp_23,31,462,493,0.0671
wNBG8Gp_33,69,373,442,0.185
wNBG8Gp_51,7,437,444,0.016
wNBG8Gp_65,9,99,108,0.0909
wNBG8Gp_80,9,141,150,0.0638
eL3wWKe_0,48,471,519,0.1019
ng7rjf6_0,4,719,723,0.0056
88iCu0j_0,13,40,53,0.325
88iCu0j_11,50,512,562,0.0977
idMLILF_0,18,112,130,0.1607
idMLILF_14,354,231,585,1.5325
J410gdS_0,75,1,76,75.0
J410gdS_2,2547,338,2885,7.5355
J410gdS_3,1107,338,1445,3.2751
J410gdS_6,3145,408,3553,7.7083
J410gdS_7,38,408,446,0.0931
J410gdS_19,25,29,54,0.8621
J410gdS_24,1127,34,1161,33.1471
J410gdS_26,2200,309,2509,7.1197
J410gdS_27,28,309,337,0.0906
J410gdS_30,2204,487,2691,4.5257
J410gdS_31,1251,487,1738,2.5688
J410gdS_34,1103,240,1343,4.5958
J410gdS_36,1232,45,1277,27.3778
J410gdS_38,1101,309,1410,3.5631
tcgsdUu_0,20,249,269,0.0803
sUO0XFL_0,236,266,502,0.8872
6Zoa7wI_0,14,788,802,0.0178
6YMEjv4_0,20,107,127,0.1869
b5AqyBf_0,15,219,234,0.0685
jbL4U2H_0,37,726,763,0.051
795KMlQ_0,9,313,322,0.0288
UQWWfNB_0,17,136,153,0.125
Ez4Up7Z_0,25,589,614,0.0424
fcxU0TT_0,11,174,185,0.0632
BmS3AX0_0,407,324,731,1.2562
BmS3AX0_10,144,172,316,0.8372
WJidmXp_0,163,83,246,1.9639
juND8Ql_0,10,448,458,0.0223
vH787Fr_0,9,66,75,0.1364
pngR6CU_0,16,209,225,0.0766
NBkldhW_0,45,114,159,0.3947
X1NXUxZ_0,25,25,50,1.0
UGg8d44_0,30,45,75,0.6667
UGg8d44_4,2401,86,2487,27.9186
UGg8d44_5,1876,86,1962,21.814
UGg8d44_8,2734,363,3097,7.5317
UGg8d44_9,15,363,378,0.0413
UGg8d44_25,35,138,173,0.2536
UGg8d44_37,13,625,638,0.0208
UGg8d44_47,32,83,115,0.3855
UGg8d44_60,323,198,521,1.6313
otSTSpB_0,14,644,658,0.0217
ncJJfCQ_0,436,370,806,1.1784
j0gtTrY_0,133,71,204,1.8732
W4wL13P_0,4,284,288,0.0141
wpSappl_0,16,125,141,0.128
dcTB2RK_0,40,259,299,0.1544
ZUkSe7V_0,2035,400,2435,5.0875
ZUkSe7V_1,27,400,427,0.0675
LINiOhS_0,24,14,38,1.7143
LINiOhS_4,1650,102,1752,16.1765
LINiOhS_8,1098,22,1120,49.9091
zHkTtNj_0,382,378,760,1.0106
Ys4AKnP_0,49,404,453,0.1213
d51bm7m_0,7,36,43,0.1944
ACt45V7_0,330,279,609,1.1828
ACt45V7_11,20,89,109,0.2247
fud9GZG_0,433,131,564,3.3053
fud9GZG_7,2,387,389,0.0052
